Category,Status
"SALADS",Synced
"QUICHE",Synced
"COMBOS",Synced
"ALA CARTE",Synced
"HALF SANDWICHES",Synced
"DELIVERY",Synced
"DEPOSIT",Synced
"EMPLOYEE PRICES 1",Synced
"EMPLOYEE PRICES 2",Synced
"CHIPS",Synced
"HOT BREAKFAST",Synced
"Bread Open",Synced
"SALAD CATERING",Synced
"MISC. ITEMS",Synced
"CATERING",Synced
"Pastries",Synced
"WHOLESALE MISC",Synced
"BAKERY VIENNE",Synced
"COOKIES",Synced
"BARS/STRUDEL",Failed
"CROISSANT/LOAVES",Failed
"QUICHE/PIES",Failed
"BREADS A-D",Synced
"BREADS E-P",Synced
"BREADS Q-Z",Synced
"ROLLS/BUNS",Failed
"6 CAKES",Synced
"8 CAKES",Synced
"9 CAKES",Synced
"10 CAKES",Synced
"12 CAKES",Synced
"14 CAKES",Synced
"1/4 SHEET",Failed
"1/2 SHEET",Failed
"FULL SHEET",Synced
"1/8 = 8 X 6",Failed
"DOZEN'S",Failed
"DOZEN'S PASTRY",Failed
"SPECIALITY CAKES",Synced
"CAKE ADD ON/EXTRAS",Failed
"SLICES/MINI'S",Failed
"TARTS",Synced
"SEASONAL",Synced
"DEPOSITS/DELIVERY",Failed
"MERCHANDISE",Synced
"ADD ONS",Synced
"SPREADS/SAUCES",Failed
"CHEESES",Synced
"DRESSINGS",Synced
"BREADS",Synced
"NO",Synced
"CHICKEN MOD",Synced
"SOUPS",Synced
"SIDE COMBOS",Synced
"SANDWICH",Synced
"EXTRAS",Synced
"ADD SOUPS",Synced
"ONLY",Synced
"1/2  SANDWICH",Failed
"DELI MEATS",Synced
"ROLLS",Synced
"PARKER",Synced
"SUB",Synced
"PARKER ROLLS",Synced
"SALAD CHICKEN",Synced
"SALAD ADD-ONS",Synced
"GRILL SANDWICH",Synced
"Sub Ck Breast",Synced
"Egg Croist",Synced
"SIDES",Synced
"MUFFINS",Synced
"DANISH",Synced
"SCONES",Synced
"CAKE ADD-ONS",Synced
"JAM SIDES",Synced
"GRILL",Synced
"CAN'T MAKE",Failed
"Strip",Synced
"APPROVAL NEEDED",Synced
"JAMS",Synced
"COFFEEBEANS",Synced
"COFFEE CAKES",Synced
"HEART CAKES",Synced
"BUCHE",Synced
"SUGAR COOKIES",Synced
"CHOC. STRAWBERRIES",Synced
"ADD ON DRINKS",Synced
"MILK",Synced
"COFFEE MODS",Synced
"SYRUP FLAVORS",Synced
"S.F. SYRUPS",Synced
"BEV MOD",Synced
"BLENDER",Synced
"ALCOHOL",Synced
"ESPRESSO",Synced
"RED BULL",Synced
"COFFEE FLAVORS",Synced
"OLE OPTIONS",Synced
"SIZES",Synced
"Chai sizes",Synced
"MILKS",Synced
"EGGS",Synced
"TOAST",Synced
"Jam mod",Synced
"Combo Meat",Synced
"CAKES",Synced
"DRINKS",Synced
"ICE TEAS",Synced
"COFFEE",Synced
"HOT TEA",Synced
"SNAPPLE",Synced
"JUICES",Synced
"WATER",Synced
"WINE",Synced
"BEER",Synced
"SODA",Synced
"Bistro Vienne",Synced
"EMPLOYEE CHEESES",Synced
"Blt",Synced
"DECAF TEA",Synced
"Toast Mod",Synced
